benchmark,mode,platform,iteration,value_cycles,value_ns
fibonacci,native,esp32s3_xtensa,0,24502754,102094808
fibonacci,native,esp32s3_xtensa,1,24494278,102059491
fibonacci,native,esp32s3_xtensa,2,24494274,102059475
fibonacci,native,esp32s3_xtensa,3,24494274,102059475
fibonacci,native,esp32s3_xtensa,4,24494274,102059475
fibonacci,native,esp32s3_xtensa,5,24494274,102059475
fibonacci,native,esp32s3_xtensa,6,24494273,102059470
fibonacci,native,esp32s3_xtensa,7,24494274,102059475
fibonacci,native,esp32s3_xtensa,8,24494274,102059475
fibonacci,native,esp32s3_xtensa,9,24494274,102059475
fibonacci,native,esp32s3_xtensa,10,24494274,102059475
fibonacci,native,esp32s3_xtensa,11,24494274,102059475
fibonacci,native,esp32s3_xtensa,12,24494274,102059475
fibonacci,native,esp32s3_xtensa,13,24494274,102059475
fibonacci,native,esp32s3_xtensa,14,24494274,102059475
fibonacci,native,esp32s3_xtensa,15,24494274,102059475
fibonacci,native,esp32s3_xtensa,16,24494274,102059475
fibonacci,native,esp32s3_xtensa,17,24494274,102059475
fibonacci,native,esp32s3_xtensa,18,24494274,102059475
fibonacci,native,esp32s3_xtensa,19,24494274,102059475
matrix_multiplication,native,esp32s3_xtensa,0,3218540,13410583
matrix_multiplication,native,esp32s3_xtensa,1,3216553,13402304
matrix_multiplication,native,esp32s3_xtensa,2,3216553,13402304
matrix_multiplication,native,esp32s3_xtensa,3,3216553,13402304
matrix_multiplication,native,esp32s3_xtensa,4,3216553,13402304
matrix_multiplication,native,esp32s3_xtensa,5,3216553,13402304
matrix_multiplication,native,esp32s3_xtensa,6,3216553,13402304
matrix_multiplication,native,esp32s3_xtensa,7,3216553,13402304
matrix_multiplication,native,esp32s3_xtensa,8,3216553,13402304
matrix_multiplication,native,esp32s3_xtensa,9,3216553,13402304
matrix_multiplication,native,esp32s3_xtensa,10,3216553,13402304
matrix_multiplication,native,esp32s3_xtensa,11,3216553,13402304
matrix_multiplication,native,esp32s3_xtensa,12,3216553,13402304
matrix_multiplication,native,esp32s3_xtensa,13,3216553,13402304
matrix_multiplication,native,esp32s3_xtensa,14,3216553,13402304
matrix_multiplication,native,esp32s3_xtensa,15,3216553,13402304
matrix_multiplication,native,esp32s3_xtensa,16,3216553,13402304
matrix_multiplication,native,esp32s3_xtensa,17,3216553,13402304
matrix_multiplication,native,esp32s3_xtensa,18,3216553,13402304
matrix_multiplication,native,esp32s3_xtensa,19,3216553,13402304
crc32,native,esp32s3_xtensa,0,262178,1092408
crc32,native,esp32s3_xtensa,1,262178,1092408
crc32,native,esp32s3_xtensa,2,262178,1092408
crc32,native,esp32s3_xtensa,3,262178,1092408
crc32,native,esp32s3_xtensa,4,262178,1092408
crc32,native,esp32s3_xtensa,5,262178,1092408
crc32,native,esp32s3_xtensa,6,262178,1092408
crc32,native,esp32s3_xtensa,7,262178,1092408
crc32,native,esp32s3_xtensa,8,262178,1092408
crc32,native,esp32s3_xtensa,9,262178,1092408
crc32,native,esp32s3_xtensa,10,262178,1092408
crc32,native,esp32s3_xtensa,11,262178,1092408
crc32,native,esp32s3_xtensa,12,262178,1092408
crc32,native,esp32s3_xtensa,13,262178,1092408
crc32,native,esp32s3_xtensa,14,262178,1092408
crc32,native,esp32s3_xtensa,15,262178,1092408
crc32,native,esp32s3_xtensa,16,262178,1092408
crc32,native,esp32s3_xtensa,17,262178,1092408
crc32,native,esp32s3_xtensa,18,262178,1092408
crc32,native,esp32s3_xtensa,19,262178,1092408
quicksort,native,esp32s3_xtensa,0,570919,2378829
quicksort,native,esp32s3_xtensa,1,569766,2374025
quicksort,native,esp32s3_xtensa,2,569766,2374025
quicksort,native,esp32s3_xtensa,3,569766,2374025
quicksort,native,esp32s3_xtensa,4,569766,2374025
quicksort,native,esp32s3_xtensa,5,569766,2374025
quicksort,native,esp32s3_xtensa,6,569766,2374025
quicksort,native,esp32s3_xtensa,7,569766,2374025
quicksort,native,esp32s3_xtensa,8,569766,2374025
quicksort,native,esp32s3_xtensa,9,569766,2374025
quicksort,native,esp32s3_xtensa,10,569766,2374025
quicksort,native,esp32s3_xtensa,11,569766,2374025
quicksort,native,esp32s3_xtensa,12,569766,2374025
quicksort,native,esp32s3_xtensa,13,569766,2374025
quicksort,native,esp32s3_xtensa,14,569766,2374025
quicksort,native,esp32s3_xtensa,15,569766,2374025
quicksort,native,esp32s3_xtensa,16,569766,2374025
quicksort,native,esp32s3_xtensa,17,569766,2374025
quicksort,native,esp32s3_xtensa,18,569766,2374025
quicksort,native,esp32s3_xtensa,19,569766,2374025
AOT doesn't work, to fix
