benchmark,mode,platform,iteration,value_cycles,value_ns
crc32,native,thumbv8,0,328415,2189433
crc32,native,thumbv8,1,328018,2186786
crc32,native,thumbv8,2,327848,2185653
crc32,native,thumbv8,3,327738,2184920
crc32,native,thumbv8,4,327738,2184920
crc32,native,thumbv8,5,327738,2184920
crc32,native,thumbv8,6,327738,2184920
crc32,native,thumbv8,7,327738,2184920
crc32,native,thumbv8,8,327738,2184920
crc32,native,thumbv8,9,327738,2184920
crc32,native,thumbv8,10,327738,2184920
crc32,native,thumbv8,11,327738,2184920
crc32,native,thumbv8,12,327738,2184920
crc32,native,thumbv8,13,327738,2184920
crc32,native,thumbv8,14,327738,2184920
crc32,native,thumbv8,15,327738,2184920
crc32,native,thumbv8,16,327738,2184920
crc32,native,thumbv8,17,327738,2184920
crc32,native,thumbv8,18,327738,2184920
crc32,native,thumbv8,19,327738,2184920
quicksort,native,thumbv8,0,722396,4815973
quicksort,native,thumbv8,1,721549,4810326
quicksort,native,thumbv8,2,720762,4805080
quicksort,native,thumbv8,3,720414,4802760
quicksort,native,thumbv8,4,720414,4802760
quicksort,native,thumbv8,5,720414,4802760
quicksort,native,thumbv8,6,720414,4802760
quicksort,native,thumbv8,7,720414,4802760
quicksort,native,thumbv8,8,720414,4802760
quicksort,native,thumbv8,9,720414,4802760
quicksort,native,thumbv8,10,720414,4802760
quicksort,native,thumbv8,11,720414,4802760
quicksort,native,thumbv8,12,720414,4802760
quicksort,native,thumbv8,13,720414,4802760
quicksort,native,thumbv8,14,720414,4802760
quicksort,native,thumbv8,15,720414,4802760
quicksort,native,thumbv8,16,720414,4802760
quicksort,native,thumbv8,17,720414,4802760
quicksort,native,thumbv8,18,720414,4802760
quicksort,native,thumbv8,19,720414,4802760
matrix_multiplication,native,thumbv8,0,26824737,178831580
matrix_multiplication,native,thumbv8,1,26811805,178745366
matrix_multiplication,native,thumbv8,2,26809310,178728733
matrix_multiplication,native,thumbv8,3,26808987,178726580
matrix_multiplication,native,thumbv8,4,26809098,178727320
matrix_multiplication,native,thumbv8,5,26808986,178726573
matrix_multiplication,native,thumbv8,6,26808988,178726586
matrix_multiplication,native,thumbv8,7,26809144,178727626
matrix_multiplication,native,thumbv8,8,26809144,178727626
matrix_multiplication,native,thumbv8,9,26809144,178727626
matrix_multiplication,native,thumbv8,10,26809099,178727326
matrix_multiplication,native,thumbv8,11,26809098,178727320
matrix_multiplication,native,thumbv8,12,26809098,178727320
matrix_multiplication,native,thumbv8,13,26808986,178726573
matrix_multiplication,native,thumbv8,14,26809097,178727313
matrix_multiplication,native,thumbv8,15,26809098,178727320
matrix_multiplication,native,thumbv8,16,26809098,178727320
matrix_multiplication,native,thumbv8,17,26808986,178726573
matrix_multiplication,native,thumbv8,18,26809098,178727320
matrix_multiplication,native,thumbv8,19,26809144,178727626
fibonacci,native,thumbv8,0,25176315,167842100
fibonacci,native,thumbv8,1,25158818,167725453
fibonacci,native,thumbv8,2,25156364,167709093
fibonacci,native,thumbv8,3,25155767,167705113
fibonacci,native,thumbv8,4,25155697,167704646
fibonacci,native,thumbv8,5,25156029,167706860
fibonacci,native,thumbv8,6,25156336,167708906
fibonacci,native,thumbv8,7,25156084,167707226
fibonacci,native,thumbv8,8,25156017,167706780
fibonacci,native,thumbv8,9,25155929,167706193
fibonacci,native,thumbv8,10,25156502,167710013
fibonacci,native,thumbv8,11,25156463,167709753
fibonacci,native,thumbv8,12,25155902,167706013
fibonacci,native,thumbv8,13,25156145,167707633
fibonacci,native,thumbv8,14,25155565,167703766
fibonacci,native,thumbv8,15,25155889,167705926
fibonacci,native,thumbv8,16,25155889,167705926
fibonacci,native,thumbv8,17,25155793,167705286
fibonacci,native,thumbv8,18,25156827,167712180
fibonacci,native,thumbv8,19,25156554,167710360
crc32,aot,thumbv8,0,412307,2748713
crc32,aot,thumbv8,1,411214,2741426
crc32,aot,thumbv8,2,411325,2742166
crc32,aot,thumbv8,3,411217,2741446
crc32,aot,thumbv8,4,411216,2741440
crc32,aot,thumbv8,5,411216,2741440
crc32,aot,thumbv8,6,411215,2741433
crc32,aot,thumbv8,7,411327,2742180
crc32,aot,thumbv8,8,411444,2742960
crc32,aot,thumbv8,9,411444,2742960
crc32,aot,thumbv8,10,411215,2741433
crc32,aot,thumbv8,11,411217,2741446
crc32,aot,thumbv8,12,411216,2741440
crc32,aot,thumbv8,13,411326,2742173
crc32,aot,thumbv8,14,411325,2742166
crc32,aot,thumbv8,15,411217,2741446
crc32,aot,thumbv8,16,411326,2742173
crc32,aot,thumbv8,17,411216,2741440
crc32,aot,thumbv8,18,411443,2742953
crc32,aot,thumbv8,19,411217,2741446
quicksort,aot,thumbv8,0,985842,6572280
quicksort,aot,thumbv8,1,984471,6563140
quicksort,aot,thumbv8,2,984582,6563880
quicksort,aot,thumbv8,3,984472,6563146
quicksort,aot,thumbv8,4,984581,6563873
quicksort,aot,thumbv8,5,984473,6563153
quicksort,aot,thumbv8,6,984472,6563146
quicksort,aot,thumbv8,7,984472,6563146
quicksort,aot,thumbv8,8,984471,6563140
quicksort,aot,thumbv8,9,984473,6563153
quicksort,aot,thumbv8,10,984472,6563146
quicksort,aot,thumbv8,11,984472,6563146
quicksort,aot,thumbv8,12,984471,6563140
quicksort,aot,thumbv8,13,984473,6563153
quicksort,aot,thumbv8,14,984700,6564666
quicksort,aot,thumbv8,15,984472,6563146
quicksort,aot,thumbv8,16,984471,6563140
quicksort,aot,thumbv8,17,984473,6563153
quicksort,aot,thumbv8,18,984472,6563146
quicksort,aot,thumbv8,19,984582,6563880
matrix_multiplication,aot,thumbv8,0,31300755,208671700
matrix_multiplication,aot,thumbv8,1,31285725,208571500
matrix_multiplication,aot,thumbv8,2,31284451,208563006
matrix_multiplication,aot,thumbv8,3,31283651,208557673
matrix_multiplication,aot,thumbv8,4,31283625,208557500
matrix_multiplication,aot,thumbv8,5,31283670,208557800
matrix_multiplication,aot,thumbv8,6,31283662,208557746
matrix_multiplication,aot,thumbv8,7,31283548,208556986
matrix_multiplication,aot,thumbv8,8,31283630,208557533
matrix_multiplication,aot,thumbv8,9,31283457,208556380
matrix_multiplication,aot,thumbv8,10,31283338,208555586
