benchmark,mode,platform,iteration,value_cycles,value_ns
fibonacci,interp,riscv32,0,1104577838,7363852253
fibonacci,interp,riscv32,1,1104844818,7365632120
fibonacci,interp,riscv32,2,1104843252,7365621680
fibonacci,interp,riscv32,3,1104842504,7365616693
fibonacci,interp,riscv32,4,1104842125,7365614166
fibonacci,interp,riscv32,5,1104842745,7365618300
fibonacci,interp,riscv32,6,1104842277,7365615180
fibonacci,interp,riscv32,7,1104842652,7365617680
fibonacci,interp,riscv32,8,1104841705,7365611366
fibonacci,interp,riscv32,9,1104843035,7365620233
fibonacci,interp,riscv32,10,1104843651,7365624340
fibonacci,interp,riscv32,11,1104843215,7365621433
fibonacci,interp,riscv32,12,1104841779,7365611860
fibonacci,interp,riscv32,13,1104842135,7365614233
fibonacci,interp,riscv32,14,1104842253,7365615020
fibonacci,interp,riscv32,15,1104842626,7365617506
fibonacci,interp,riscv32,16,1104842510,7365616733
fibonacci,interp,riscv32,17,1104842695,7365617966
fibonacci,interp,riscv32,18,1104842721,7365618140
fibonacci,interp,riscv32,19,1104842478,7365616520
fibonacci,fast_interp,riscv32,0,641090208,4273934720
fibonacci,fast_interp,riscv32,1,641419806,4276132040
fibonacci,fast_interp,riscv32,2,641417770,4276118466
fibonacci,fast_interp,riscv32,3,641417457,4276116380
fibonacci,fast_interp,riscv32,4,641418607,4276124046
fibonacci,fast_interp,riscv32,5,641417089,4276113926
fibonacci,fast_interp,riscv32,6,641417082,4276113880
fibonacci,fast_interp,riscv32,7,641417845,4276118966
fibonacci,fast_interp,riscv32,8,641417209,4276114726
fibonacci,fast_interp,riscv32,9,641417188,4276114586
fibonacci,fast_interp,riscv32,10,641417622,4276117480
fibonacci,fast_interp,riscv32,11,641417347,4276115646
fibonacci,fast_interp,riscv32,12,641416633,4276110886
fibonacci,fast_interp,riscv32,13,641417733,4276118220
fibonacci,fast_interp,riscv32,14,641417446,4276116306
fibonacci,fast_interp,riscv32,15,641417394,4276115960
fibonacci,fast_interp,riscv32,16,641418424,4276122826
fibonacci,fast_interp,riscv32,17,641417308,4276115386
fibonacci,fast_interp,riscv32,18,641417769,4276118460
fibonacci,fast_interp,riscv32,19,641417961,4276119740
fibonacci,aot,riscv32,0,76558801,510392006
fibonacci,aot,riscv32,1,77055909,513706060
fibonacci,aot,riscv32,2,77056085,513707233
fibonacci,aot,riscv32,3,77056056,513707040
fibonacci,aot,riscv32,4,77055767,513705113
fibonacci,aot,riscv32,5,77056245,513708300
fibonacci,aot,riscv32,6,77056126,513707506
fibonacci,aot,riscv32,7,77056137,513707580
fibonacci,aot,riscv32,8,77055670,513704466
fibonacci,aot,riscv32,9,77056247,513708313
fibonacci,aot,riscv32,10,77056066,513707106
fibonacci,aot,riscv32,11,77056304,513708693
fibonacci,aot,riscv32,12,77056355,513709033
fibonacci,aot,riscv32,13,77055966,513706440
fibonacci,aot,riscv32,14,77056138,513707586
fibonacci,aot,riscv32,15,77056156,513707706
fibonacci,aot,riscv32,16,77055937,513706246
fibonacci,aot,riscv32,17,77055937,513706246
fibonacci,aot,riscv32,18,77055936,513706240
fibonacci,aot,riscv32,19,77056010,513706733
