benchmark,mode,platform,iteration,value_cycles,value_ns
crc32,native,thumbv8,0,328945,2192966
crc32,native,thumbv8,1,328638,2190920
crc32,native,thumbv8,2,327732,2184880
crc32,native,thumbv8,3,327840,2185600
crc32,native,thumbv8,4,327840,2185600
crc32,native,thumbv8,5,327732,2184880
crc32,native,thumbv8,6,327732,2184880
crc32,native,thumbv8,7,327732,2184880
crc32,native,thumbv8,8,327840,2185600
crc32,native,thumbv8,9,327840,2185600
crc32,native,thumbv8,10,327840,2185600
crc32,native,thumbv8,11,327732,2184880
crc32,native,thumbv8,12,327732,2184880
crc32,native,thumbv8,13,327840,2185600
crc32,native,thumbv8,14,327732,2184880
crc32,native,thumbv8,15,327840,2185600
crc32,native,thumbv8,16,327840,2185600
crc32,native,thumbv8,17,327840,2185600
crc32,native,thumbv8,18,327840,2185600
crc32,native,thumbv8,19,327840,2185600
quicksort,native,thumbv8,0,723064,4820426
quicksort,native,thumbv8,1,721130,4807533
quicksort,native,thumbv8,2,720807,4805380
quicksort,native,thumbv8,3,720737,4804913
quicksort,native,thumbv8,4,720806,4805373
quicksort,native,thumbv8,5,720757,4805046
quicksort,native,thumbv8,6,720688,4804586
quicksort,native,thumbv8,7,720616,4804106
quicksort,native,thumbv8,8,720805,4805366
quicksort,native,thumbv8,9,720617,4804113
quicksort,native,thumbv8,10,720806,4805373
quicksort,native,thumbv8,11,720786,4805240
quicksort,native,thumbv8,12,720756,4805040
quicksort,native,thumbv8,13,720737,4804913
quicksort,native,thumbv8,14,720737,4804913
quicksort,native,thumbv8,15,720735,4804900
quicksort,native,thumbv8,16,720688,4804586
quicksort,native,thumbv8,17,720688,4804586
quicksort,native,thumbv8,18,720805,4805366
quicksort,native,thumbv8,19,720805,4805366
matrix_multiplication,native,thumbv8,0,26824297,178828646
matrix_multiplication,native,thumbv8,1,26813269,178755126
matrix_multiplication,native,thumbv8,2,26809756,178731706
matrix_multiplication,native,thumbv8,3,26809313,178728753
matrix_multiplication,native,thumbv8,4,26809252,178728346
matrix_multiplication,native,thumbv8,5,26809139,178727593
matrix_multiplication,native,thumbv8,6,26809140,178727600
matrix_multiplication,native,thumbv8,7,26809142,178727613
matrix_multiplication,native,thumbv8,8,26809189,178727926
matrix_multiplication,native,thumbv8,9,26809189,178727926
matrix_multiplication,native,thumbv8,10,26809092,178727280
matrix_multiplication,native,thumbv8,11,26809142,178727613
matrix_multiplication,native,thumbv8,12,26809190,178727933
matrix_multiplication,native,thumbv8,13,26809093,178727286
matrix_multiplication,native,thumbv8,14,26809142,178727613
matrix_multiplication,native,thumbv8,15,26809141,178727606
matrix_multiplication,native,thumbv8,16,26809191,178727940
