benchmark,mode,platform,iteration,value_cycles,value_ns
crc32,native,rpi_pico2_thumb,0,328940,2192933
crc32,native,rpi_pico2_thumb,1,328026,2186840
crc32,native,rpi_pico2_thumb,2,327846,2185640
crc32,native,rpi_pico2_thumb,3,327736,2184906
crc32,native,rpi_pico2_thumb,4,327736,2184906
crc32,native,rpi_pico2_thumb,5,327736,2184906
crc32,native,rpi_pico2_thumb,6,327736,2184906
crc32,native,rpi_pico2_thumb,7,327736,2184906
crc32,native,rpi_pico2_thumb,8,327736,2184906
crc32,native,rpi_pico2_thumb,9,327736,2184906
crc32,native,rpi_pico2_thumb,10,327736,2184906
crc32,native,rpi_pico2_thumb,11,327736,2184906
crc32,native,rpi_pico2_thumb,12,327736,2184906
crc32,native,rpi_pico2_thumb,13,327736,2184906
crc32,native,rpi_pico2_thumb,14,327736,2184906
crc32,native,rpi_pico2_thumb,15,327736,2184906
crc32,native,rpi_pico2_thumb,16,327736,2184906
crc32,native,rpi_pico2_thumb,17,327736,2184906
crc32,native,rpi_pico2_thumb,18,327736,2184906
crc32,native,rpi_pico2_thumb,19,327736,2184906
matrix_multiplication,native,rpi_pico2_thumb,0,29039439,193596260
matrix_multiplication,native,rpi_pico2_thumb,1,29028352,193522346
matrix_multiplication,native,rpi_pico2_thumb,2,29025709,193504726
matrix_multiplication,native,rpi_pico2_thumb,3,29025304,193502026
matrix_multiplication,native,rpi_pico2_thumb,4,29025503,193503353
matrix_multiplication,native,rpi_pico2_thumb,5,29025146,193500973
matrix_multiplication,native,rpi_pico2_thumb,6,29025245,193501633
matrix_multiplication,native,rpi_pico2_thumb,7,29025415,193502766
matrix_multiplication,native,rpi_pico2_thumb,8,29025315,193502100
matrix_multiplication,native,rpi_pico2_thumb,9,29025317,193502113
matrix_multiplication,native,rpi_pico2_thumb,10,29025175,193501166
matrix_multiplication,native,rpi_pico2_thumb,11,29025505,193503366
matrix_multiplication,native,rpi_pico2_thumb,12,29025262,193501746
matrix_multiplication,native,rpi_pico2_thumb,13,29025145,193500966
matrix_multiplication,native,rpi_pico2_thumb,14,29025317,193502113
matrix_multiplication,native,rpi_pico2_thumb,15,29025264,193501760
matrix_multiplication,native,rpi_pico2_thumb,16,29025241,193501606
matrix_multiplication,native,rpi_pico2_thumb,17,29025268,193501786
matrix_multiplication,native,rpi_pico2_thumb,18,29025312,193502080
