benchmark,mode,platform,iteration,value_cycles,value_ns
crc32,native,rpi_pico2_thumb,0,328593,2190620
crc32,native,rpi_pico2_thumb,1,328363,2189086
crc32,native,rpi_pico2_thumb,2,327967,2186446
crc32,native,rpi_pico2_thumb,3,327958,2186386
crc32,native,rpi_pico2_thumb,4,327967,2186446
crc32,native,rpi_pico2_thumb,5,328077,2187180
crc32,native,rpi_pico2_thumb,6,327957,2186380
crc32,native,rpi_pico2_thumb,7,327848,2185653
crc32,native,rpi_pico2_thumb,8,327958,2186386
crc32,native,rpi_pico2_thumb,9,327967,2186446
crc32,native,rpi_pico2_thumb,10,327848,2185653
crc32,native,rpi_pico2_thumb,11,328077,2187180
crc32,native,rpi_pico2_thumb,12,327957,2186380
crc32,native,rpi_pico2_thumb,13,327848,2185653
crc32,native,rpi_pico2_thumb,14,327957,2186380
crc32,native,rpi_pico2_thumb,15,327848,2185653
crc32,native,rpi_pico2_thumb,16,327848,2185653
crc32,native,rpi_pico2_thumb,17,327967,2186446
crc32,native,rpi_pico2_thumb,18,328077,2187180
crc32,native,rpi_pico2_thumb,19,327848,2185653
matrix_multiplication,native,rpi_pico2_thumb,0,2407183,16047886
matrix_multiplication,native,rpi_pico2_thumb,1,2406109,16040726
matrix_multiplication,native,rpi_pico2_thumb,2,2405720,16038133
matrix_multiplication,native,rpi_pico2_thumb,3,2405600,16037333
matrix_multiplication,native,rpi_pico2_thumb,4,2405603,16037353
matrix_multiplication,native,rpi_pico2_thumb,5,2405603,16037353
matrix_multiplication,native,rpi_pico2_thumb,6,2405483,16036553
matrix_multiplication,native,rpi_pico2_thumb,7,2405483,16036553
matrix_multiplication,native,rpi_pico2_thumb,8,2405483,16036553
matrix_multiplication,native,rpi_pico2_thumb,9,2405603,16037353
matrix_multiplication,native,rpi_pico2_thumb,10,2405603,16037353
matrix_multiplication,native,rpi_pico2_thumb,11,2405373,16035820
matrix_multiplication,native,rpi_pico2_thumb,12,2405603,16037353
matrix_multiplication,native,rpi_pico2_thumb,13,2405603,16037353
matrix_multiplication,native,rpi_pico2_thumb,14,2405483,16036553
matrix_multiplication,native,rpi_pico2_thumb,15,2405373,16035820
matrix_multiplication,native,rpi_pico2_thumb,16,2405483,16036553
matrix_multiplication,native,rpi_pico2_thumb,17,2405603,16037353
matrix_multiplication,native,rpi_pico2_thumb,18,2405483,16036553
matrix_multiplication,native,rpi_pico2_thumb,19,2405373,16035820
quicksort,native,rpi_pico2_thumb,0,722284,4815226
quicksort,native,rpi_pico2_thumb,1,721098,4807320
quicksort,native,rpi_pico2_thumb,2,720632,4804213
quicksort,native,rpi_pico2_thumb,3,720632,4804213
quicksort,native,rpi_pico2_thumb,4,720630,4804200
quicksort,native,rpi_pico2_thumb,5,720640,4804266
quicksort,native,rpi_pico2_thumb,6,720630,4804200
quicksort,native,rpi_pico2_thumb,7,720640,4804266
quicksort,native,rpi_pico2_thumb,8,720640,4804266
quicksort,native,rpi_pico2_thumb,9,720640,4804266
quicksort,native,rpi_pico2_thumb,10,720750,4805000
quicksort,native,rpi_pico2_thumb,11,720630,4804200
quicksort,native,rpi_pico2_thumb,12,720632,4804213
quicksort,native,rpi_pico2_thumb,13,720640,4804266
quicksort,native,rpi_pico2_thumb,14,720630,4804200
quicksort,native,rpi_pico2_thumb,15,720632,4804213
quicksort,native,rpi_pico2_thumb,16,720520,4803466
quicksort,native,rpi_pico2_thumb,17,720632,4804213
quicksort,native,rpi_pico2_thumb,18,720520,4803466
quicksort,native,rpi_pico2_thumb,19,720750,4805000
fibonacci,native,rpi_pico2_thumb,0,25166930,167779533
fibonacci,native,rpi_pico2_thumb,1,25152418,167682786
fibonacci,native,rpi_pico2_thumb,2,25150292,167668613
fibonacci,native,rpi_pico2_thumb,3,25150132,167667546
fibonacci,native,rpi_pico2_thumb,4,25149802,167665346
fibonacci,native,rpi_pico2_thumb,5,25149806,167665373
fibonacci,native,rpi_pico2_thumb,6,25150181,167667873
fibonacci,native,rpi_pico2_thumb,7,25149913,167666086
fibonacci,native,rpi_pico2_thumb,8,25150349,167668993
fibonacci,native,rpi_pico2_thumb,9,25149699,167664660
fibonacci,native,rpi_pico2_thumb,10,25149913,167666086
fibonacci,native,rpi_pico2_thumb,11,25149696,167664640
fibonacci,native,rpi_pico2_thumb,12,25150022,167666813
fibonacci,native,rpi_pico2_thumb,13,25150074,167667160
fibonacci,native,rpi_pico2_thumb,14,25150025,167666833
fibonacci,native,rpi_pico2_thumb,15,25150239,167668260
fibonacci,native,rpi_pico2_thumb,16,25149806,167665373
fibonacci,native,rpi_pico2_thumb,17,25149806,167665373
fibonacci,native,rpi_pico2_thumb,18,25149699,167664660
fibonacci,native,rpi_pico2_thumb,19,25149915,167666100
crc32,aot,rpi_pico2_thumb,0,379292,2528613
crc32,aot,rpi_pico2_thumb,1,378261,2521740
crc32,aot,rpi_pico2_thumb,2,378429,2522860
crc32,aot,rpi_pico2_thumb,3,378269,2521793
crc32,aot,rpi_pico2_thumb,4,378151,2521006
crc32,aot,rpi_pico2_thumb,5,378261,2521740
crc32,aot,rpi_pico2_thumb,6,378381,2522540
crc32,aot,rpi_pico2_thumb,7,378429,2522860
crc32,aot,rpi_pico2_thumb,8,378379,2522526
crc32,aot,rpi_pico2_thumb,9,378151,2521006
